selamat malam	Good night
tandas	toilet
kencing	Pee
tahi	poop
kencing	To pee
kunci	To lock
tuala	Towel
mengepam	To flush
berak	To poop
rak	Rack
kekotoran	Mess
bilik mandi	Shower
kertas tandas	toilet paper
nampaknya	To seem
tab mandi	bathtub
sebentar	Just a moment
habis	No more
Bolehkah saya menggunakan bilik mandi itu?	May I use the shower please?
Bolehkah saya menggunakan tandas itu?	May I use the toilet please?
Ada seseorang di dalam bilik mandi.	There is someone in the shower.
Ya, tetapi bilik mandi itu busuk.	Yes, but the bathroom is stinky.
Sila tunggu sebentar.	Wait just a moment please.
Ada seseorang di dalam.	There is someone in there.
Saya perlu berak.	I have to poop
Mungkin ada kertas tandas di dalam kabinet itu.	Perhaps there is toilet paper in the cabinet.
Saya perlu bersihkan kotoran itu.	I need to clean up the mess.
Saya perlu kencing.	I have to pee.
Kertas tandas sudah habis.	There is no more toilet paper.
Saya perlu bersihkan kencing itu.	I need to clean up the pee.
Nampaknya tuala ini kotor.	This towel seems dirty.
Bolehkah kamu mengunci pintu itu?	Could you please lock the door?
Tuala ada di atas rak itu.	There is a towel on the rack.
Nampaknya sabun sudah habis.	There seems to be no more soap.
Nampaknya tuala ini busuk.	This towel seems stinky.
Saya perlukan cermin.	I need a mirror.
Saya perlu mandi.	I need a shower.
Bolehkah kamu membuka pintu itu?	Could you please open the door?
Dengan apakah kamu hendak saya membersihkan tandas itu?	What do you want me to use to clean the toilet?
Guna span itu untuk membersihkan lantai itu.	Use the sponge to clean the floor.
Dimana kamu ingin saya letakkan kertas tandas ini?	Where do you want me to put the toilet paper?
Sila letakkan tuala itu di dalam bilik mandi itu.	Please put the towel in the bathroom.
Saya perlu pergi ke tandas.	I have to go to the toilet.
Saya perlu pergi ke bilik mandi.	I have to go to the bathroom.
tidak patut	should not
patut	Should
periuk	Pot
besi	Metal
papan	Wood
garpu	Fork
Pisau	knife
plastik	plastic
mangkuk	Bowl
surat khabar	Newspaper
memotong	To cut
sudu	spoon
pinggan	Plate
gelas	Glass
berdoa	To pray
cawan	Cup
selepas	After
teh	Tea
ubi kentang	Potato
ayam	Chicken
sebelum	Before
Kamu mahu sehelai tisu?	Do you want a napkin?
Pinggan ini kepunyaan saya.	That plate is mine.
Kamu mahu sebilah pisau?	Do you want a knife?
Saya mahu sebiji cawan.	I want a cup.
Periuk siapakah ini?	Whose pot is this?
Mangkuk siapakah ini?	Whose bowl is this?
Pinggan ini kepunyaan Ken.	That plate is Ken’s.
Saya mahu sekeping pinggan.	I want a plate.
Jangan guna cawan plastik itu.	Do not use the plastic cup.
Guna garpu ini untuk memakan ayam itu.	Use this fork to eat the chicken.
Jangan guna cawan gelas itu.	Do not use the glass cup.
Saya tidak tahu menggunakan pisau.	I do not know how to use knives.
Patutkah saya mengguna sebilah pisau?	Should I use a knife?
Tahukah kamu menggunakan garpu?	Do you know how to use forks?
Sila gunakan garpu kerana sudu sudah habis.	Please use a fork because there are no more spoons.
Kita berdoa selepas kita makan.	We pray after we eat.
Mungkin kamu patut menggunakan sebilah pisau plastik.	Perhaps you should use a plastic knife.
Mungkin kamu tidak patut menggunakan sebilah pisau plastik.	Perhaps you should not use a plastic knife.
Adakah kamu berdoa sebelum makan?	Do you pray before you eat?
Garpu plastik senang untuk diguna.	Plastic forks are easy to use.
Garpu plastik susah untuk diguna.	Plastic forks are hard to use.
Kita berdoa sebelum kita makan.	We pray before we eat.
Bolehkah saya menerima sebiji ubi kentang?	May I please have a potato?
Apakah yang patut saya guna untuk memakan ini?	What should I use to eat this?
Kamu patut menggunakan gunting untuk menggunting surat khabar itu.	You should use scissors to cut the newspaper.
Bolehkah saya menerima sebatang sudu?	May I please have a spoon?
Kamu tidak patut menggunakan gunting untuk menggunting surat khabar itu.	You should not use scissors to cut the newspaper.
Sila tulis nama anda atas cawan anda.	Please write your name on your cup.
Sila tulis nama anda atas gelas anda.	Please write your name on your glass.
Seseorang telah mengunci tingkap itu tetapi Ken membukanya lagi.	Someone locked the window, but Ken opened it again.
Sila tutup pintu itu sebelum kamu beredar.	Before you go, please close the door.
Jika peti sejuk sudah penuh, letakkan enam minuman itu di dalam kotak itu.	If the refrigerator is full, then please put those six drinks in that box.
Seseorang telah menutup tingkap itu tetapi Ken membukanya lagi.	Someone closed the window, but Ken opened it again.
Letakkan lima minuman ini di dalam kotak itu.	Put these five drinks in that box.
Sila buka pintu itu sebelum kamu beredar.	Before you go, please open the door.
Mungkin kita tidak patut memberi Ken sebatang sudu kerana nampaknya dia tidak boleh menggunakan sudu.	Perhaps we should not give Ken a spoon, because it seems like he can not use one.
Mungkin kita patut memberi Ken sebatang garpu.	Perhaps we should give Ken a fork.
Kamu patut mencuci tangan kamu sebelum beredar.	You should wash your hands before you go.
Kamu patut mencuci tangan kamu sebelum makan.	You should wash your hands before you eat.
Nampaknya kerusi adalah mencukupi.	It seems that there are enough chairs.
Kamu patut menghubungi Ken jika meja nampak tidak mencukupi.	If it seems that there are not enough tables, then you should call Ken.
Sila buka tingkap-tingkap ini sebelum kamu beredar.	Please open these windows before you go.
Sila mengunci pintu itu dan tutup tingkap-tingkap itu sebelum kamu beredar.	Please lock the door and close those windows before you go.
Sila letakkan tuala itu di dalam tab mandi selepas menggunanya.	Please put the towel in the bathtub when you are finished.
Mungkin adalah susah untuk memotong ayam dengan sebatang sudu.	Perhaps it is difficult to cut chicken with a spoon.
Letak tuala itu di dalam bilik tidur.	Put the towel in the bedroom.
Tutup pintu itu.	Close the door.
Sila tulis nama Ken di atas payung dia.	Please write Ken’s name on his umbrella.
Saya perlu membersih pinggan mangkuk saya sekarang.	I have to clean my dishes now.
Mungkin kamu tidak patut mengguna tuala yang kotor untuk membersihkan meja itu.	Perhaps you should not use a dirty towel to clean the table.
Mungkin kamu patut menggunakan span yang bersih.	Perhaps you should use a clean sponge.
Saya perlu membersih bilik saya sekarang.	I have to clean my room now.
Sila tulis nama Ken di atas piring dia.	Please write Ken’s name on his plate.
Januari	January
Mac	March
mengambil masa	to take
Februari	February
hari	day
April	April
bulan	Month
Ogos	August
Israel	Israel
Julai	July
Jun	June
Oktober	October
Mei	May
bila	When
September	September
bulan lepas	last month
bulan ini	This month
kembali	To return
Disember	December
Paris	Paris
November	November
Rusia	Rusia
bulan depan	next month
Pada bulan Januari.	It is in January.
Berapa banyak bulan yang akan diambil?	How many days does it take?
Dalam bulan ini.	It is next month.
Pada bulan apakah itu?	In what month was it?
Ia telah mengambil masa satu hari.	It took one day.
Berapa banyak hari yang telah diambil?	How many days did it take?
Berapa banyak bulan yang telah diambil?	How many months did it take?
Pada bulan apakah itu?	In what month is it?
Berapa banyak bulan yang akan diambil?	How many months will it take?
Ia telah mengambil masa satu bulan.	It took a month.
Ia mengambil masa lima bulan.	It takes five months.
Ada tiga puluh hari dalam bulan April.	There are thirty days in April.
Ia mengambil masa lima hari.	It takes five days.
Ada tiga puluh satu hari dalam bulan Mac.	There are thirty one days in March.
Apa yang telah kamu katakan?	What did you say?
Ada berapa banyak hari dalam bulan Februari?	How many days are there in February?
Ada berapa banyak hari dalam bulan ini?	How many days are there in this month?
Ken kata dia akan kembali ke Israel pada bulan Oktober.	Ken said he’ll return to Israel in October.
Dia akan kembali pada bulan Jun.	She will return in June.
Saya akan kembali ke Rusia pada bulan Julai.	I’ll return to Russia in July.
Saya akan kembali ke Rusia pada bulan Ogos.	I’ll return to Russia in August.
Bilakah akan kamu kembali ke Paris?	When will you return to Paris?
Ken kata dia akan kembali ke Israel pada bulan September.	Ken said he’ll return to Israel in September.
Erica akan kembali pada bulan Disember.	Erica will return in December.
Erica akan kembali pada bulan November.	Erica will return in November.
Pada bulan Mei.	In May.
lima haribulan	Fifth (day of the month)
enam haribulan	sixth (day of the month)
satu haribulan	First (day of the month)
tujuh haribulan	Seventh (day of the month)
tiga haribulan	Third (day of the month)
empat haribulan	Fourth (day of the month)
dua haribulan	Second (day of the month)
lapan haribulan	Eighth (day of the month)
sepuluh haribulan	Tenth (day of the month)
empat belas haribulan	fourteenth (day of the month)
sebelas haribulan	Eleventh (day of the month)
tiga belas haribulan	Thirteenth (day of the month)
enam belas haribulan	Sixteenth (day of the month)
dua belas haribulan	twelfth (day of the month)
sembilan haribulan	ninth (day of the month)
lima belas haribulan	fifteenth (day of the month)
tujuh belas haribulan	seventeenth (day of the month)
dua puluh empat haribulan	twenty-fourth (day of the month)
lapan belas haribulan	eighteenth (day of the month)
dua puluh satu haribulan	twenty-first (day of the month)
dua puluh dua haribulan	twenty-second (day of the month)
dua puluh tiga haribulan	twenty-third (day of the month)
sembilan belas haribulan	nineteenth (day of the month)
dua puluh haribulan	Twentieth (day of the month)
dua puluh lapan haribulan	twenty-eighth (day of the month)
tiga puluh haribulan	thirtieth (day of the month)
dua puluh tujuh haribulan	twenty-seventh (day of the month)
dua puluh enam haribulan	twenty-sixth (day of the month)
dua puluh sembilan haribulan	twenty-ninth (day of the month)
dua puluh lima haribulan	twenty-fifth (day of the month)
tiga puluh satu haribulan	thirty-first (day of the month)
Haribulan apakah hari ini?	What day of the month is it today?
Tiga haribulan Mei.	It’s on the third of May.
Empat haribulan Mei.	It’s on the fourth of May.
Satu haribulan Mei.	It’s on the first of May.
Haribulan berapakah itu?	What day of the month is it?
Hari ini lima haribulan Julai.	Today is the fifth of July.
Dua haribulan Mei.	It’s on the second of May.
Hari ini enam haribulan Julai.	Today is the sixth of July.
Bilakah akan Ken pergi?	When will Ken go?
Bilakah akan kamu kembali?	When will you return?
Dia akan datang pada sebelas haribulan.	She’ll come on the eleventh.
Dia akan datang pada sepuluh haribulan.	She’ll come on the tenth.
Dia akan datang pada tujuh haribulan.	He’ll come on the seventh.
Dia akan datang pada dua puluh tujuh haribulan.	She’ll come on the twenty-seventh.
Dia akan datang pada sembilan haribulan.	He’ll come on the ninth.
Dia akan datang pada lapan haribulan.	He’ll come on the eighth.
Bilakah akan Ken kembali?	When will Ken return?
Bilakah akan kamu pergi?	When will you go?
Saya akan berada di sana dari lima belas haribulan ke tiga puluh haribulan.	I’ll be there from the fifteenth until the thirtieth.
Saya akan berada di sana dari empat belas haribulan ke tiga puluh haribulan.	I’ll be there from the fourteenth until the thirtieth.
Saya akan pulang ke Israel pada dua belas haribulan Jun.	I’ll return to Israel on the twelfth of June.
Saya akan berada di sana dari dua puluh sembilan haribulan ke tiga puluh haribulan.	I’ll be there from the twenty-ninth until the thirtieth.
Saya akan pulang ke Israel pada dua puluh lapan haribulan Jun.	I’ll return to Israel on the twenty-eighth of June.
Saya akan pulang ke Israel pada tiga belas haribulan Jun.	I’ll return to Israel on the thirteenth of June.
Khamis	Thursday
Isnin	Monday
Rabu	Wednesday
Jumaat	Friday
minggu	Week
Sabtu	Saturday
Selasa	Saturday
Ahad	Sunday
kelmarin	the day before yesterday
hari minggu	weekday
lusa	The day after tomorrow
tahun baru	New years day
hujung minggu	Weekend
restoran	Restaurant
cuti	Holiday
semalam	yesterday

<=========================================== Got Up To Here ==========================================================>

minggu lepas	Last week
Last week	minggu lepas
harijadi	birthday
birthday	harijadi
hari ini	Today
Today	hari ini
dalam dua hari	In two days
In two days	dalam dua hari
dalam tiga hari	in three days
in three days	dalam tiga hari
esok	Tomorrow
Tomorrow	esok
minggu depan	next week
next week	minggu depan
minggu ini	This week
This week	minggu ini
Hari ini hari Ahad.	Today is Sunday.
Today is Sunday.	Hari ini hari Ahad.
Hari minggu apakah itu?	What day of the week was it?
What day of the week was it?	Hari minggu apakah itu?
Apa yang akan kamu buat Selasa minggu depan?	What are you doing next week Tuesday?
What are you doing next week Tuesday?	Apa yang akan kamu buat Selasa minggu depan?
Hari Ahad.	It was Sunday.
It was Sunday.	Hari Ahad.
Hari Isnin.	It was Monday.
It was Monday.	Hari Isnin.
Hari ini hari Isnin.	Today is Monday.
Today is Monday.	Hari ini hari Isnin.
Saya akan membersihkan rumah saya.	I’ll clean my house.
I’ll clean my house.	Saya akan membersihkan rumah saya.
Harijadi saya Rabu lepas.	My birthday was on Wednesday.
My birthday was on Wednesday.	Harijadi saya Rabu lepas.
Dalam hujung minggu ini.	It'll be this weekend.
It'll be this weekend.	Dalam hujung minggu ini.
Pada hari apakah itu?	On what day will it be?
On what day will it be?	Pada hari apakah itu?
Harijadi saya pada hari Rabu.	My birthday is on Wednesday.
My birthday is on Wednesday.	Harijadi saya pada hari Rabu.
Bilakah harijadi kamu?	When is your birthday?
When is your birthday?	Bilakah harijadi kamu?
Esok.	It will be tomorrow.
It will be tomorrow.	Esok.
Dalam dua hari.	It will be in two days.
It will be in two days.	Dalam dua hari.
Sabtu ini.	This week Saturday.
This week Saturday.	Sabtu ini.
Jumaat ini.	This week Friday.
This week Friday.	Jumaat ini.
Jumaat minggu lepas.	Last week Friday.
Last week Friday.	Jumaat minggu lepas.
Saya makan di restoran pada hari Khamis.	I went to eat at a restaurant on Thursday.
I went to eat at a restaurant on Thursday.	Saya makan di restoran pada hari Khamis.
Ke mana telah kamu pergi pada harijadi kamu?	Where did you go for your birthday?
Where did you go for your birthday?	Ke mana telah kamu pergi pada harijadi kamu?
Sabtu minggu lepas.	Last week Saturday.
Last week Saturday.	Sabtu minggu lepas.
Ke mana telah kamu pergi Ahad lepas?	What did you do on Sunday?
What did you do on Sunday?	Ke mana telah kamu pergi Ahad lepas?
lima minit lagi pukul tujuh	five minutes until seven
five minutes until seven	lima minit lagi pukul tujuh
petang	evening
evening	petang
a.m.	a.m.
a.m.	a.m.
jam	Hour
Hour	jam
pukul satu	one o’clock
one o’clock	pukul satu
tidur	to sleep
to sleep	tidur
p.m.	p.m.
p.m.	p.m.
tengah hari	noon/afternoon
noon/afternoon	tengah hari
temu janji	Appointment
